ID,Generation,N0,Census,Person
837.1,10,13,4,MFO
839.1,10,11,11,MFO
4401,10,20,39,MJK
4402,10,20,23,MJK
4403,10,20,14,MJK
4404,10,20,25,MJK
4405,10,20,17,MJK
4406,10,20,16,MJK
4407,10,23,25,MJK
842.1,10,22,12,MFO
844.1,10,27,16,MFO
844.2,10,26,17,MFO
846.1,10,24,14,MFO
846.2,10,22,14,MFO
847.1,10,18,20,MFO
851.1,10,21,18,MFO
851.2,10,21,11,MFO
852.1,10,23,11,MFO
853.1,10,17,20,MFO
856.1,10,39,27,MFO
857.1,10,34,20,MFO
858.1,10,23,20,MFO
859.1,10,34,17,MFO
861.1,10,20,41,MFO
861.2,10,20,19,MFO
862.1,10,27,28,MFO
864.1,10,20,20,MFO
865.1,10,31,5,MFO
866.1,10,27,17,MFO
867.1,10,37,27,MFO
868.1,10,38,16,MFO
869.1,10,37,22,MFO
870.1,10,35,21,MFO
4501,10,20,26,MFO
4502,10,20,14,MFO
4503,10,20,23,MFO
4504,10,20,31,MFO
4505,10,20,29,MFO
4506,10,20,18,MFO
4507,10,20,10,MFO
4508,10,20,17,MFO
4509,10,25,27,MFO
871.1,10,8,8,MFO
872.1,10,29,27,MFO
874.1,10,21,19,MFO
875.1,10,24,9,MFO
876.1,10,34,15,MFO
877.1,10,31,24,MJK
880.1,10,18,10,MJK
882.1,10,20,8,MJK
883.1,10,24,19,MJK
885.1,10,20,7,MJK
4601,10,20,19,MFO
4602,10,20,15,MFO
4603,10,20,4,MFO
4604,10,20,15,MFO
4605,10,20,13,MFO
4606,10,20,7,MFO
4607,10,20,24,MFO
4608,10,20,20,MFO
4609,10,20,17,MFO
4610,10,25,17,MFO
901.1,10,26,25,MFO
902.1,10,7,0,MFO
903.1,10,22,23,MFO
903.2,10,22,23,MFO
904.1,10,22,30,MFO
904.2,10,21,15,MFO
908.1,10,5,0,MFO
909.1,10,22,13,MFO
909.2,10,21,7,MFO
910.1,10,20,0,MFO
911.1,10,12,0,MFO
913.1,10,15,11,MFO
914.1,10,10,0,MFO
916.1,10,33,26,MFO
916.2,10,33,22,MFO
917.1,10,28,21,MFO
4701,10,20,16,MFO
4702,10,20,19,MFO
4703,10,20,26,MFO
4704,10,20,24,MFO
4705,10,20,8,MFO
4706,10,23,16,MFO
934.1,10,24,10,MJK
934.2,10,23,12,MJK
935.1,10,31,19,MJK
936.1,10,31,13,MJK
937.1,10,26,9,MJK
939.1,10,25,8,MJK
940.1,10,28,19,MFO
941.1,10,4,1,MFO
942.1,10,28,22,MFO
943.1,10,39,12,MFO
945.1,10,21,33,MFO
945.2,10,20,12,MFO
4801,10,20,13,MFO
4802,10,20,31,MFO
4803,10,20,8,MFO
4804,10,20,10,MFO
4805,10,20,25,MFO
4806,10,20,8,MFO
4807,10,20,10,MFO
4808,10,20,9,MFO
4809,10,16,6,MFO
3001,11,16,21,MJK
3002,11,16,19,MJK
3003,11,16,29,MJK
3004,11,16,16,MJK
3005,11,16,21,MJK
3006,11,16,18,MJK
3007,11,16,22,MJK
3008,11,16,15,MJK
